candidateId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
317,1.0,0.5,0.33,0.25,0.25,0.0,0.5,0.25,1.0,0.25,1.0,0.0,0.25,0.0,0.75,0.75,0.0,1.0,1.0,0.75,0.75,0.25,0.25,0.0,0.25,0.0,0.0,1.0,1.0,1.0,0.75,0.25,0.25,0.75,0.0,0.75,0.25,1.0,0.0,0.25,1.0,0.75,0.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.75,1.0,1.0,0.75,0.75,0.25,0.75,0.75,0.25,0.75,0.67,0.67,1.0,0.0,0.75,0.75,0.75,0.5,0.25,0.5,0.75,0.5,0.0,1.0,0.75
318,0.17,0.0,0.33,0.75,1.0,0.0,0.67,0.75,1.0,0.75,0.75,0.25,0.75,0.25,1.0,1.0,0.75,0.25,1.0,0.0,1.0,0.25,1.0,0.0,0.25,0.25,0.25,1.0,0.25,0.25,0.75,0.0,0.0,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,1.0,0.75,1.0,0.25,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0.75,0.75,0.0,0.75,0.75,0.83,0.83,0.5,0.0,0.75,1.0,0.25,0.75,0.25,0.75,1.0,0.5,0.25,0.75,0.75
319,0.83,0.0,0.0,1.0,1.0,0.0,0.83,1.0,0.75,1.0,0.75,0.25,1.0,0.75,1.0,0.75,0.75,0.75,0.75,1.0,1.0,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.75,1.0,1.0,0.25,0.75,0.0,0.25,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.25,1.0,0.75,0.75,0.75,0.75,0.0,1.0,0.75,0.75,1.0,1.0,0.67,1.0,1.0,0.0,0.0,0.75,1.0,0.75,0.0,0.5,1.0,0.5,0.5,1.0,0.5
320,0.67,0.17,0.17,0.75,1.0,0.0,0.67,1.0,0.75,0.75,0.75,0.25,0.75,0.75,1.0,0.75,0.25,1.0,0.75,0.25,0.75,0.75,1.0,0.0,0.75,0.25,0.25,1.0,0.75,1.0,0.25,0.0,0.0,1.0,0.25,0.25,0.0,0.75,0.75,0.25,0.75,1.0,0.25,1.0,1.0,1.0,0.75,0.25,0.0,0.75,0.75,0.25,1.0,0.75,0.75,0.0,1.0,0.25,1.0,0.75,0.83,0.83,0.83,0.0,0.75,0.75,1.0,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.5
328,0.17,0.33,0.0,0.75,1.0,0.0,0.67,1.0,1.0,1.0,1.0,0.25,0.25,0.75,1.0,0.75,0.25,0.75,0.75,0.0,0.75,0.75,1.0,0.0,0.75,0.25,0.0,1.0,0.75,0.75,1.0,0.0,0.25,1.0,0.25,1.0,0.25,0.25,0.75,0.0,0.75,1.0,0.75,1.0,1.0,1.0,0.0,0.75,0.0,0.75,1.0,1.0,0.75,1.0,0.0,1.0,1.0,0.75,1.0,0.75,0.83,1.0,1.0,0.25,0.75,0.75,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.75,0.25
370,0.0,0.33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,1.0,1.0,0.0,1.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.75,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.75,0.75,0.0,0.0,1.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.25,0.5,0.5,0.0
385,0.17,0.0,0.0,0.75,1.0,0.0,0.17,1.0,1.0,0.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.75,1.0,0.0,0.75,0.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.75,0.83,1.0,0.83,0.0,1.0,0.25,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.75,0.25
493,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.75,0.75,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.67,1.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5
494,0.17,0.0,0.0,1.0,1.0,0.0,1.0,0.25,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.75,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.0,0.67,1.0,1.0,0.25,1.0,1.0,0.75,0.0,0.5,1.0,1.0,0.0,1.0,0.25
495,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.25,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.75,1.0,1.0,0.0,0.0,1.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.75,0.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.0,0.17,1.0,0.75,0.75,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.25
527,0.5,0.5,0.5,0.25,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.25,1.0,0.75,0.0,1.0,0.25,0.0,0.0,0.25,0.0,0.75,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.75,0.0,1.0,0.25,0.75,1.0,1.0,0.75,1.0,0.75,1.0,0.25,0.25,0.0,1.0,0.75,0.25,0.75,0.75,0.0,0.0,0.0,0.25,1.0,0.75,0.33,0.67,0.67,0.0,1.0,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.5
595,1.0,0.83,0.0,0.75,0.0,0.25,0.0,0.0,1.0,1.0,0.25,0.25,0.75,0.0,0.25,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.0,0.75,0.25,0.25,0.25,1.0,0.0,1.0,0.75,0.75,0.25,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.75,1.0,0.75,0.75,0.0,0.75,0.75,0.75,0.25,1.0,1.0,0.0,1.0,0.25,1.0,1.0,1.0,1.0,0.17,0.0,0.75,1.0,0.75,0.25,0.75,0.75,1.0,1.0,0.75,0.75,0.75
613,0.67,0.17,0.33,0.25,0.75,0.0,0.83,0.0,1.0,1.0,0.75,0.0,0.75,0.0,0.25,0.0,0.75,0.75,0.25,1.0,0.75,0.25,1.0,0.0,0.25,0.0,0.0,1.0,0.0,1.0,0.75,0.25,0.25,0.0,0.75,0.25,1.0,1.0,0.0,1.0,1.0,0.0,0.25,0.75,0.75,1.0,0.25,0.25,0.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.0,0.75,0.33,0.33,1.0,0.0,0.0,1.0,0.75,0.75,0.25,0.75,1.0,0.75,0.0,1.0,0.75
614,0.17,0.0,0.0,0.75,1.0,0.0,1.0,0.25,1.0,1.0,0.0,0.0,1.0,0.0,0.75,0.25,1.0,0.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.25,0.0,0.33,1.0,0.25,0.0,1.0,1.0,0.75,0.0,0.25,0.75,0.75,0.0,1.0,0.5
643,0.5,0.5,0.0,1.0,1.0,0.0,0.83,1.0,0.75,0.75,0.0,0.25,1.0,0.0,1.0,1.0,0.75,1.0,1.0,0.25,0.75,0.75,0.0,0.0,0.75,0.25,0.75,1.0,0.25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75,0.25,0.75,1.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.75,1.0,1.0,0.75,1.0,0.75,0.0,1.0,0.0,1.0,1.0,0.33,0.83,1.0,0.25,0.75,0.25,1.0,0.5,0.5,0.5,0.75,0.5,0.25,1.0,0.25
649,0.5,0.33,0.33,1.0,1.0,0.0,0.67,0.0,1.0,0.0,0.75,0.0,0.0,0.75,0.75,1.0,0.0,1.0,1.0,0.0,1.0,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,0.75,0.25,0.25,0.25,0.0,1.0,1.0,1.0,0.75,0.75,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.75,0.5,0.33,0.67,0.0,1.0,0.75,1.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75
650,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.25,1.0,1.0,0.0,0.0,0.75,0.0,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.25,0.0,0.0,0.75,0.75,0.25,1.0,0.75,0.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0,0.25,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.0,0.75,0.17,0.5,0.83,0.0,0.0,1.0,0.75,0.75,0.0,0.5,1.0,0.75,0.25,0.75,0.5
652,0.67,0.5,0.83,0.75,1.0,0.0,0.33,0.75,0.75,0.75,1.0,0.25,0.25,0.75,0.75,1.0,0.75,1.0,1.0,0.25,1.0,0.75,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.75,0.25,0.75,0.25,0.0,0.0,0.75,0.0,0.0,0.25,0.25,0.25,0.75,0.75,1.0,0.75,1.0,0.0,0.75,0.25,1.0,0.75,0.75,0.25,0.75,1.0,0.25,0.25,1.0,1.0,0.75,1.0,0.83,0.67,0.0,1.0,0.0,1.0,0.5,0.25,0.75,0.75,0.5,0.25,0.75,0.25
653,0.0,0.0,0.17,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.0,1.0,0.75,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.75,0.0,0.33,1.0,0.75,0.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,0.25,1.0,0.75
654,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.75,1.0,1.0,0.0,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.75,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,0.0,1.0,0.0
657,0.83,0.67,0.17,0.75,1.0,0.0,0.33,1.0,0.0,0.0,1.0,0.75,0.25,0.75,0.0,1.0,0.0,0.75,0.75,0.0,0.75,0.25,0.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.0,0.75,0.75,0.25,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.67,0.83,0.17,0.0,1.0,0.0,0.25,0.0,0.5,0.75,0.75,0.25,0.75,0.75,0.25
658,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
736,0.0,0.0,0.33,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.75,1.0,0.0,1.0,0.75,1.0,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.25,0.0,0.67,1.0,0.75,0.0,1.0,1.0,0.75,0.0,0.5,1.0,1.0,0.0,1.0,0.75
743,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.25,0.0,1.0,0.0,1.0,1.0,0.75,1.0,0.0,1.0,1.0,0.75,1.0,0.0,1.0,0.0,0.25,1.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.83,0.17,0.0,1.0,0.0,0.0,0.0,1.0,0.75,0.75,0.0,0.75,0.25,1.0
750,1.0,0.83,0.5,0.0,0.0,0.0,0.0,1.0,0.25,0.75,1.0,0.75,0.0,1.0,1.0,1.0,0.0,1.0,0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.75,1.0,1.0,0.0,1.0,0.75,0.25,1.0,0.75,1.0,0.0,0.25,1.0,0.0,0.25,1.0,0.0,0.25,0.25,1.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,0.0,1.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,0.17,0.0,1.0,0.0,1.0,0.25,0.75,0.5,0.75,0.25,0.5,0.5,0.0
753,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0
754,0.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.75,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.75,0.75,1.0,0.0,0.25,1.0,1.0,0.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.33,0.67,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.5,1.0,0.75,0.0,1.0,0.5
